Pumba, 6 años
Marty, 7 años
Laya, 6 años
Ness, 7 años
Rocco, 5 años
Ron, 6 años
Chovis, 5 años
Laki, 6 años
Blacky, 5 años
Cholo, 6 años
Pimi, 7 años
Oreo, 7 años
Spot, 6 años
Yuno, 6 años
Lisa, 5.3 años
Cookie, 6.5 años
Wae, 5 años
Macario, 5 años
Sofi, 5 años
Malacara, 7 años
Chiquirionda, 5 años
Chorizo, 6 años
Galleta , 7 años
Candy, 7 años
kira, 5 años
Botas, 7 años
Lulu, 7 años
Chloe, 6 años
Jason, 6 años
Bobby, 7 años
Gabano, 7 años
Juana, 5 años
Max, 5 años
Hunter, 5 años
Snoopy , 6 años
Zeus, 6 años
Canelo, 6 años
Sox, 5 años
Isis, 5 años
Carolina, 6 años
Cronos, 5 años
Bailey, 5 años
Fil, 6 años
Mia, 6 años
Morgan, 5 años
Scrappy, 7 años
